SampleID,Group,Batch,StressIntensity,SourceSink
Control_01,Control,demo_batch,0,Source
Control_02,Control,demo_batch,0,Source
Control_03,Control,demo_batch,0,Source
Control_04,Control,demo_batch,0,Source
Control_05,Control,demo_batch,0,Source
Control_06,Control,demo_batch,0,Source
Control_07,Control,demo_batch,0,Source
Control_08,Control,demo_batch,0,Source
Control_09,Control,demo_batch,0,Source
Control_10,Control,demo_batch,0,Source
Control_11,Control,demo_batch,0,Source
Control_12,Control,demo_batch,0,Source
Drought_01,Drought,demo_batch,1,Source
Drought_02,Drought,demo_batch,1,Source
Drought_03,Drought,demo_batch,1,Source
Drought_04,Drought,demo_batch,1,Source
Drought_05,Drought,demo_batch,1,Source
Drought_06,Drought,demo_batch,1,Source
Drought_07,Drought,demo_batch,1,Source
Drought_08,Drought,demo_batch,1,Source
Drought_09,Drought,demo_batch,1,Source
Drought_10,Drought,demo_batch,1,Source
Drought_11,Drought,demo_batch,1,Source
Drought_12,Drought,demo_batch,1,Source
Salt_01,Salt,demo_batch,2,Sink
Salt_02,Salt,demo_batch,2,Sink
Salt_03,Salt,demo_batch,2,Sink
Salt_04,Salt,demo_batch,2,Sink
Salt_05,Salt,demo_batch,2,Sink
Salt_06,Salt,demo_batch,2,Sink
Salt_07,Salt,demo_batch,2,Sink
Salt_08,Salt,demo_batch,2,Sink
Salt_09,Salt,demo_batch,2,Sink
Salt_10,Salt,demo_batch,2,Sink
Salt_11,Salt,demo_batch,2,Sink
Salt_12,Salt,demo_batch,2,Sink
