FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species,KO,Pathway
ASV001,Bacteria,Phylum_1,Class_1,Order_1,Family_1,Genus_1,Species_1,K00001,Pathway_1
ASV002,Bacteria,Phylum_2,Class_2,Order_2,Family_2,Genus_2,Species_2,K00002,Pathway_2
ASV003,Bacteria,Phylum_3,Class_3,Order_3,Family_3,Genus_3,Species_3,K00003,Pathway_3
ASV004,Bacteria,Phylum_4,Class_4,Order_4,Family_4,Genus_4,Species_4,K00004,Pathway_4
ASV005,Bacteria,Phylum_5,Class_5,Order_5,Family_5,Genus_5,Species_5,K00005,Pathway_5
ASV006,Bacteria,Phylum_6,Class_6,Order_6,Family_6,Genus_6,Species_6,K00006,Pathway_6
ASV007,Bacteria,Phylum_1,Class_7,Order_7,Family_7,Genus_7,Species_7,K00007,Pathway_7
ASV008,Bacteria,Phylum_2,Class_8,Order_8,Family_8,Genus_8,Species_8,K00008,Pathway_8
ASV009,Bacteria,Phylum_3,Class_9,Order_9,Family_9,Genus_9,Species_9,K00009,Pathway_1
ASV010,Bacteria,Phylum_4,Class_10,Order_10,Family_10,Genus_10,Species_10,K00010,Pathway_2
ASV011,Bacteria,Phylum_5,Class_1,Order_11,Family_11,Genus_11,Species_11,K00011,Pathway_3
ASV012,Bacteria,Phylum_6,Class_2,Order_12,Family_12,Genus_12,Species_12,K00012,Pathway_4
ASV013,Bacteria,Phylum_1,Class_3,Order_13,Family_13,Genus_13,Species_13,K00013,Pathway_5
ASV014,Bacteria,Phylum_2,Class_4,Order_14,Family_14,Genus_14,Species_14,K00014,Pathway_6
ASV015,Bacteria,Phylum_3,Class_5,Order_15,Family_15,Genus_15,Species_15,K00015,Pathway_7
ASV016,Bacteria,Phylum_4,Class_6,Order_1,Family_16,Genus_16,Species_16,K00016,Pathway_8
ASV017,Bacteria,Phylum_5,Class_7,Order_2,Family_17,Genus_17,Species_17,K00017,Pathway_1
ASV018,Bacteria,Phylum_6,Class_8,Order_3,Family_18,Genus_18,Species_18,K00018,Pathway_2
ASV019,Bacteria,Phylum_1,Class_9,Order_4,Family_19,Genus_19,Species_19,K00019,Pathway_3
ASV020,Bacteria,Phylum_2,Class_10,Order_5,Family_20,Genus_20,Species_20,K00020,Pathway_4
ASV021,Bacteria,Phylum_3,Class_1,Order_6,Family_1,Genus_21,Species_21,K00021,Pathway_5
ASV022,Bacteria,Phylum_4,Class_2,Order_7,Family_2,Genus_22,Species_22,K00022,Pathway_6
ASV023,Bacteria,Phylum_5,Class_3,Order_8,Family_3,Genus_23,Species_23,K00023,Pathway_7
ASV024,Bacteria,Phylum_6,Class_4,Order_9,Family_4,Genus_24,Species_24,K00024,Pathway_8
ASV025,Bacteria,Phylum_1,Class_5,Order_10,Family_5,Genus_25,Species_25,K00025,Pathway_1
ASV026,Bacteria,Phylum_2,Class_6,Order_11,Family_6,Genus_26,Species_26,K00026,Pathway_2
ASV027,Bacteria,Phylum_3,Class_7,Order_12,Family_7,Genus_27,Species_27,K00027,Pathway_3
ASV028,Bacteria,Phylum_4,Class_8,Order_13,Family_8,Genus_28,Species_28,K00028,Pathway_4
ASV029,Bacteria,Phylum_5,Class_9,Order_14,Family_9,Genus_29,Species_29,K00029,Pathway_5
ASV030,Bacteria,Phylum_6,Class_10,Order_15,Family_10,Genus_30,Species_30,K00030,Pathway_6
ASV031,Bacteria,Phylum_1,Class_1,Order_1,Family_11,Genus_31,Species_31,K00031,Pathway_7
ASV032,Bacteria,Phylum_2,Class_2,Order_2,Family_12,Genus_32,Species_32,K00032,Pathway_8
ASV033,Bacteria,Phylum_3,Class_3,Order_3,Family_13,Genus_33,Species_33,K00033,Pathway_1
ASV034,Bacteria,Phylum_4,Class_4,Order_4,Family_14,Genus_34,Species_34,K00034,Pathway_2
ASV035,Bacteria,Phylum_5,Class_5,Order_5,Family_15,Genus_35,Species_35,K00035,Pathway_3
ASV036,Bacteria,Phylum_6,Class_6,Order_6,Family_16,Genus_36,Species_36,K00036,Pathway_4
ASV037,Bacteria,Phylum_1,Class_7,Order_7,Family_17,Genus_37,Species_37,K00037,Pathway_5
ASV038,Bacteria,Phylum_2,Class_8,Order_8,Family_18,Genus_38,Species_38,K00038,Pathway_6
ASV039,Bacteria,Phylum_3,Class_9,Order_9,Family_19,Genus_39,Species_39,K00039,Pathway_7
ASV040,Bacteria,Phylum_4,Class_10,Order_10,Family_20,Genus_40,Species_40,K00040,Pathway_8
ASV041,Bacteria,Phylum_5,Class_1,Order_11,Family_1,Genus_41,Species_41,K00041,Pathway_1
ASV042,Bacteria,Phylum_6,Class_2,Order_12,Family_2,Genus_42,Species_42,K00042,Pathway_2
ASV043,Bacteria,Phylum_1,Class_3,Order_13,Family_3,Genus_43,Species_43,K00043,Pathway_3
ASV044,Bacteria,Phylum_2,Class_4,Order_14,Family_4,Genus_44,Species_44,K00044,Pathway_4
ASV045,Bacteria,Phylum_3,Class_5,Order_15,Family_5,Genus_45,Species_45,K00045,Pathway_5
ASV046,Bacteria,Phylum_4,Class_6,Order_1,Family_6,Genus_46,Species_46,K00046,Pathway_6
ASV047,Bacteria,Phylum_5,Class_7,Order_2,Family_7,Genus_47,Species_47,K00047,Pathway_7
ASV048,Bacteria,Phylum_6,Class_8,Order_3,Family_8,Genus_48,Species_48,K00048,Pathway_8
ASV049,Bacteria,Phylum_1,Class_9,Order_4,Family_9,Genus_49,Species_49,K00049,Pathway_1
ASV050,Bacteria,Phylum_2,Class_10,Order_5,Family_10,Genus_50,Species_50,K00050,Pathway_2
ASV051,Bacteria,Phylum_3,Class_1,Order_6,Family_11,Genus_51,Species_51,K00051,Pathway_3
ASV052,Bacteria,Phylum_4,Class_2,Order_7,Family_12,Genus_52,Species_52,K00052,Pathway_4
ASV053,Bacteria,Phylum_5,Class_3,Order_8,Family_13,Genus_53,Species_53,K00053,Pathway_5
ASV054,Bacteria,Phylum_6,Class_4,Order_9,Family_14,Genus_54,Species_54,K00054,Pathway_6
ASV055,Bacteria,Phylum_1,Class_5,Order_10,Family_15,Genus_55,Species_55,K00055,Pathway_7
ASV056,Bacteria,Phylum_2,Class_6,Order_11,Family_16,Genus_56,Species_56,K00056,Pathway_8
ASV057,Bacteria,Phylum_3,Class_7,Order_12,Family_17,Genus_57,Species_57,K00057,Pathway_1
ASV058,Bacteria,Phylum_4,Class_8,Order_13,Family_18,Genus_58,Species_58,K00058,Pathway_2
ASV059,Bacteria,Phylum_5,Class_9,Order_14,Family_19,Genus_59,Species_59,K00059,Pathway_3
ASV060,Bacteria,Phylum_6,Class_10,Order_15,Family_20,Genus_60,Species_60,K00060,Pathway_4
